workout_name,program,type,category,muscle_groups,methadologies,runtime,difficulty,equivalent_workouts,notes,attachments
Total Synergistics,P90X3,"Resistance,Conditioning","Total Body,Cardio","Chest,Shoulders,Back,Biceps,Triceps,Core,Legs",Synergistics,30,,,,
CVX,P90X3,Conditioning,Cardio,,Weighted Cardio,35,,,,
The Challenge,P90X3,Resistance,Upper Body,"Back,Chest","Volume,Superset",30,,,,
Incinerator,P90X3,Resistance,Upper Body,"Chest,Back,Shoulders,Biceps,Triceps","Pre-exhaust,Time Based Sets",30,,,,
The Warrior,P90X3,"Resistance,Conditioning","Total Body,Cardio","Chest,Shoulders,Triceps,Core,Legs",,30,,,,
Eccentric Upper,P90X3,Resistance,Upper Body,"Chest,Shoulders,Back,Biceps,Triceps","Eccentric,Giant Set",30,,,,
Eccentric Lower,P90X3,Resistance,Lower Body,Legs,Eccentric,30,,,,
Decelerator,P90X3,"Resistance,Conditioning","Total Body,Cardio","Chest,Shoulders,Back,Biceps,Triceps,Core,Legs","Eccentric,Time Based Sets",30,,,,
Agility X,P90X3,Conditioning,Plyo,,,30,,,,
Triometrics,P90X3,"Conditioning,Resistance","Plyo,Lower Body",Legs,,30,,,,
MMX,P90X3,Conditioning,Cardio,,Martial Arts,30,,,,
Accelerator,P90X3,Conditioning,Cardio,,Interval Training,30,,,,
X3 Yoga,P90X3,Mobility,Yoga,,,30,,,,
Pilates X,P90X3,"Mobility,Resistance","Abs/Core,Dynamic Stretching",,,30,,,,
Isometrix,P90X3,"Resistance,Mobility","Abs/Core,Yoga",Core,Isometric,30,,,,
Dynamix,P90X3,Mobility,Dynamic Stretching,,,30,,,,
Complex Upper,P90X3,"Resistance,Conditioning","Upper Body,Cardio","Chest,Shoulders,Back",P.A.P.,30,,,,
Complex Lower,P90X3,"Resistance,Conditioning","Lower Body,Cardio",Legs,P.A.P.,30,,,,
X3 Ab Ripper,P90X3,Resistance,Abs/Core,Core,,18,,,,
Chest and Back,P90X,Resistance,Upper Body,"Chest,Back",Superset,54,,,,
Plyometrics,P90X,Conditioning,Plyo,,,59,,,,
Shoulders and Arms,P90X,Resistance,Upper Body,"Shoulders,Biceps,Triceps",Giant Set,60,,,,
Yoga X,P90X,Mobility,Yoga,,,92,,,,
Legs and Back,P90X,Resistance,"Lower Body,Upper Body","Back,Legs","Superset,Time Based Sets",60,,,,
Kenpo X,P90X,Conditioning,Cardio,,Martial Arts,56,,,,
X Stretch,P90X,Mobility,Static Stretching,,,58,,,,
Core Synergistics,P90X,Resistance,Total Body,"Core,Legs,Chest,Shoulders,Biceps,Triceps",Synergistics,58,,,,
"Chest, Shoulders and Triceps",P90X,Resistance,Upper Body,"Chest,Shoulders,Triceps",Giant Set,57,,,,
Back and Biceps,P90X,Resistance,Upper Body,"Back,Biceps",,52,,,,
Cardio X,P90X,Conditioning,Cardio,,,43,,,,
Ab Ripper X,P90X,Resistance,Abs/Core,Core,,16,,,,
Interval X Plus,P90X+,Conditioning,Cardio,,Interval Training,40,,,,
Kenpo Cardio Plus,P90X+,Conditioning,Cardio,,Martial Arts,40,,,,
Upper Plus,P90X+,Resistance,Upper Body,"Chest,Shoulders,Back,Biceps,Triceps",Time Based Sets,45,,,,
Total Body Plus,P90X+,Resistance,Total Body,"Chest,Shoulders,Back,Biceps,Triceps,Legs",,45,,,,
Ab/Core Plus,P90X+,Resistance,Abs/Core,Core,,20,,,,
X2 Core,P90X2,Resistance,Total Body,"Core,Legs,Chest,Shoulders,Biceps,Triceps","Synergistics,Destabilization",57,,,,
X2 Plyocide,P90X2,Conditioning,Plyo,,,57,,,,
X2 Recovery + Mobility,P90X2,Mobility,Static Stretching,,Foam Rolling,58,,,,
X2 Total Body,P90X2,Resistance,Total Body,"Chest,Shoulders,Back,Biceps,Triceps,Legs",Destabilization,64,,,,
X2 Yoga,P90X2,Mobility,Yoga,,,68,,,,
X2 Balance + Power,P90X2,Resistance,Total Body,"Chest,Shoulders,Back,Biceps,Triceps,Core,Legs","Synergistics,Destabilization",63,,,,
Chest + Back + Balance,P90X2,Resistance,Upper Body,"Chest,Back",Destabilization,60,,,,
X2 Shoulders + Arms,P90X2,Resistance,Upper Body,"Shoulders,Biceps,Triceps",Destabilization,53,,,,
Base + Back,P90X2,Resistance,"Lower Body,Upper Body","Legs,Back",Destabilization,56,,,,
P.A.P. Lower,P90X2,"Resistance,Conditioning",Lower Body,Legs,P.A.P.,63,,,,
P.A.P. Upper,P90X2,"Resistance,Conditioning",Upper Body,"Chest,Shoulders,Back","P.A.P.,Destabilization",53,,,,
X2 Ab Ripper,P90X2,Resistance,Abs/Core,Core,,17,,,,
X2 Chest + Shoulders + Tris,P90X2,Resistance,Upper Body,"Chest,Shoulders,Triceps",Destabilization,52,,,,
V Sculpt,P90X2,Resistance,Upper Body,"Back,Biceps",Destabilization,54,,,,
